"g1" "g2" "g3" "g4" "g5" "group"
"1" 0.553099201540348 -0.64770860567001 0.237593890908243 0.115029367526572 0.200406544372733 "cancer"
"2" -0.078295136189027 0.744376185839047 -0.452642745695668 -0.591099942336795 -0.314851839978048 "cancer"
"3" -0.198139196601159 -0.74424873314639 1.88030587827162 1.21541628185933 -0.709944231937032 "cancer"
"4" 0.419964559659309 -0.134634230950535 -0.242008256665202 -0.239434998151585 1.92980024130215 "cancer"
"5" -0.0274999022014649 -1.30898765239758 1.09862403020646 1.08388924818813 0.737667248542218 "cancer"
"6" 0.162056629615682 1.8619831492526 0.0237061534166613 0.355054997259574 -0.693817579985505 "healthy"
"7" 0.802375480987531 -0.465169038475097 -0.558314664605138 -0.989168768740458 0.145029299829782 "healthy"
"8" -2.35531703066006 -0.60384153254801 0.203999781219381 0.620110856084829 0.213075702273607 "healthy"
"9" -0.146919458505958 0.519514583148956 2.23747236423495 1.28421592101639 -0.407703084066568 "healthy"
"10" 1.13059641076140 -0.317148305027912 0.639235297801292 0.224914352314985 0.0379192799988284 "healthy"
